alphaRuns,lambdas,run
2.0363274821126685,0.13,30
,0.13,31
1.4951818503592222,0.13,32
,0.13,33
,0.13,34
,0.13,35
,0.13,36
1.1815786280510687,0.13,37
1.6254170387119629,0.13,38
1.399701042672337,0.13,39
1.0550733576425535,0.13999999999999999,0
,0.13999999999999999,1
,0.13999999999999999,2
1.6000745493345772,0.13999999999999999,3
1.468190005179306,0.13999999999999999,4
1.3044994157747403,0.13999999999999999,5
1.4757704668534666,0.13999999999999999,6
1.3773598002676808,0.13999999999999999,7
,0.13999999999999999,8
1.617474666857456,0.13999999999999999,9
1.4767159588469945,0.13999999999999999,10
1.3448019912524372,0.13999999999999999,11
1.5728976071241854,0.13999999999999999,12
1.9213410881995827,0.13999999999999999,13
1.277784107085961,0.13999999999999999,14
1.5576106928172182,0.13999999999999999,15
,0.13999999999999999,16
1.5601386376582043,0.13999999999999999,17
,0.13999999999999999,18
1.4215521475089212,0.13999999999999999,19
1.3975351850927051,0.13999999999999999,20
1.5394905000884556,0.13999999999999999,21
1.3858076378580022,0.13999999999999999,22
1.3489012728678857,0.13999999999999999,23
,0.13999999999999999,24
,0.13999999999999999,25
,0.13999999999999999,26
1.754389703328866,0.13999999999999999,27
1.67930250040784,0.13999999999999999,28
1.3423776644594154,0.13999999999999999,29
,0.13999999999999999,30
1.5329698409240637,0.13999999999999999,31
,0.13999999999999999,32
1.3854593517273393,0.13999999999999999,33
1.465796129122955,0.13999999999999999,34
1.565030417016166,0.13999999999999999,35
,0.13999999999999999,36
,0.13999999999999999,37
,0.13999999999999999,38
1.2417083210546405,0.13999999999999999,39
2.111147425609361,0.14999999999999997,0
,0.14999999999999997,1
1.552231458680824,0.14999999999999997,2
1.451454474312164,0.14999999999999997,3
,0.14999999999999997,4
1.45285786230612,0.14999999999999997,5
1.3914573598268898,0.14999999999999997,6
1.5773049244693578,0.14999999999999997,7
,0.14999999999999997,8
1.3486907940620312,0.14999999999999997,9
,0.14999999999999997,10
1.0618977548005701,0.14999999999999997,11
1.5215671393990977,0.14999999999999997,12
1.4333106086184486,0.14999999999999997,13
1.2781093024307744,0.14999999999999997,14
1.2299532225690388,0.14999999999999997,15
1.4325494147830127,0.14999999999999997,16
1.3939060109164387,0.14999999999999997,17
1.3676919914244985,0.14999999999999997,18
,0.14999999999999997,19
1.5821810729113632,0.14999999999999997,20
1.7038324236782787,0.14999999999999997,21
1.9769838749223452,0.14999999999999997,22
1.1761576739366002,0.14999999999999997,23
1.4794194970496468,0.14999999999999997,24
1.4122539441259916,0.14999999999999997,25
,0.14999999999999997,26
,0.14999999999999997,27
1.295322519830036,0.14999999999999997,28
,0.14999999999999997,29
1.2324477540216663,0.14999999999999997,30
1.261229367070976,0.14999999999999997,31
1.4104920419470086,0.14999999999999997,32
1.210531580088462,0.14999999999999997,33
2.1227465515592963,0.14999999999999997,34
,0.14999999999999997,35
,0.14999999999999997,36
,0.14999999999999997,37
1.749182762329582,0.14999999999999997,38
inf,0.14999999999999997,39
1.6140751321883156,0.15999999999999998,0
1.3059867170267212,0.15999999999999998,1
1.6170362003622145,0.15999999999999998,2
1.538491269988486,0.15999999999999998,3
1.2898543817983612,0.15999999999999998,4
1.4442581672262045,0.15999999999999998,5
1.748281716846293,0.15999999999999998,6
1.720019797755358,0.15999999999999998,7
1.3146421220021232,0.15999999999999998,8
1.336797492345191,0.15999999999999998,9
1.4976572947066105,0.15999999999999998,10
1.260032768777684,0.15999999999999998,11
1.6675629427835805,0.15999999999999998,12
1.4855570970983414,0.15999999999999998,13
1.5766554667624098,0.15999999999999998,14
1.417908358190512,0.15999999999999998,15
1.4722607059539088,0.15999999999999998,16
1.5924539169291765,0.15999999999999998,17
1.2530593386823472,0.15999999999999998,18
1.5599324434360582,0.15999999999999998,19
1.7217506875769386,0.15999999999999998,20
1.52120390335685,0.15999999999999998,21
1.7158778560599717,0.15999999999999998,22
,0.15999999999999998,23
1.5995841136214917,0.15999999999999998,24
1.5385562956119982,0.15999999999999998,25
1.2929962462137954,0.15999999999999998,26
1.751321953232815,0.15999999999999998,27
1.6441590482678106,0.15999999999999998,28
1.251448173386617,0.15999999999999998,29
1.6839530172471109,0.15999999999999998,30
1.528536472596042,0.15999999999999998,31
1.4691965078886453,0.15999999999999998,32
,0.15999999999999998,33
1.466270322196502,0.15999999999999998,34
,0.15999999999999998,35
1.4513694674210127,0.15999999999999998,36
1.4407888434576182,0.15999999999999998,37
1.3770911153440846,0.15999999999999998,38
1.573543560651615,0.15999999999999998,39
1.3137781041473577,0.16999999999999998,0
1.4145001900928307,0.16999999999999998,1
1.1944049673739578,0.16999999999999998,2
1.5030104959362702,0.16999999999999998,3
1.355368074176556,0.16999999999999998,4
1.48756754438228,0.16999999999999998,5
1.5660581406365643,0.16999999999999998,6
1.3164832749599433,0.16999999999999998,7
1.3290538174787434,0.16999999999999998,8
1.6295958915659638,0.16999999999999998,9
1.2269788239948394,0.16999999999999998,10
1.7519286540781303,0.16999999999999998,11
1.3564929459316448,0.16999999999999998,12
1.651827216059741,0.16999999999999998,13
1.4353157510581787,0.16999999999999998,14
1.444721892810468,0.16999999999999998,15
1.3669665554490815,0.16999999999999998,16
1.1750910288977643,0.16999999999999998,17
inf,0.16999999999999998,18
