alphaRuns,lambdas,run
0.011321120916627347,0.15999999999999998,17
,0.15999999999999998,18
-0.0012779184825339462,0.15999999999999998,19
,0.15999999999999998,20
,0.15999999999999998,21
-0.016110149094600304,0.15999999999999998,22
0.02213662959143982,0.15999999999999998,23
0.012376129315222112,0.15999999999999998,24
0.00021398877425604645,0.15999999999999998,25
,0.15999999999999998,26
,0.15999999999999998,27
0.044926148681320666,0.15999999999999998,28
,0.15999999999999998,29
,0.15999999999999998,30
,0.15999999999999998,31
,0.15999999999999998,32
0.05155380607980899,0.15999999999999998,33
0.02501932431586945,0.15999999999999998,34
,0.15999999999999998,35
,0.15999999999999998,36
,0.15999999999999998,37
,0.15999999999999998,38
,0.15999999999999998,39
0.009377279127412458,0.16999999999999998,0
0.012575666213610906,0.16999999999999998,1
,0.16999999999999998,2
0.002327830808821929,0.16999999999999998,3
0.029804394815446167,0.16999999999999998,4
0.020994741531162098,0.16999999999999998,5
0.07613262344734023,0.16999999999999998,6
0.03680518187516821,0.16999999999999998,7
,0.16999999999999998,8
0.027727285629739182,0.16999999999999998,9
0.006552348117326509,0.16999999999999998,10
,0.16999999999999998,11
0.025083830266685356,0.16999999999999998,12
0.08708065175546259,0.16999999999999998,13
0.05028088841836626,0.16999999999999998,14
-0.006746934528785137,0.16999999999999998,15
-0.00022291192004711413,0.16999999999999998,16
,0.16999999999999998,17
-0.0030225377652322027,0.16999999999999998,18
-0.006562357841408462,0.16999999999999998,19
,0.16999999999999998,20
-0.0075523515407665,0.16999999999999998,21
0.01387011073199474,0.16999999999999998,22
-0.008744350649847576,0.16999999999999998,23
-0.020280706822690786,0.16999999999999998,24
-0.0017608409380807655,0.16999999999999998,25
0.018252416459165657,0.16999999999999998,26
,0.16999999999999998,27
-0.012125488001726581,0.16999999999999998,28
,0.16999999999999998,29
,0.16999999999999998,30
-0.013799820162016141,0.16999999999999998,31
0.026631641488474536,0.16999999999999998,32
0.0349821928090886,0.16999999999999998,33
0.017464228839330298,0.16999999999999998,34
0.007823763979081425,0.16999999999999998,35
0.02495621073273052,0.16999999999999998,36
,0.16999999999999998,37
-0.005756185162914498,0.16999999999999998,38
0.011042661335969761,0.16999999999999998,39
0.048559126225171875,0.17999999999999997,0
0.0373664019563541,0.17999999999999997,1
-0.004287885004417125,0.17999999999999997,2
0.006259222341999396,0.17999999999999997,3
0.009470163485102878,0.17999999999999997,4
0.009201638950594365,0.17999999999999997,5
-0.00025579781594311374,0.17999999999999997,6
0.007728007900418998,0.17999999999999997,7
,0.17999999999999997,8
0.015123893489243062,0.17999999999999997,9
-0.007505822169846008,0.17999999999999997,10
0.006298485155814937,0.17999999999999997,11
0.010889949717594175,0.17999999999999997,12
,0.17999999999999997,13
0.03847320961949657,0.17999999999999997,14
0.009680593386028918,0.17999999999999997,15
0.25442800637615487,0.17999999999999997,16
-0.04309764105552816,0.17999999999999997,17
0.053485477482118196,0.17999999999999997,18
,0.17999999999999997,19
,0.17999999999999997,20
0.022829631233225983,0.17999999999999997,21
-0.007624703198067878,0.17999999999999997,22
,0.17999999999999997,23
0.007763262448027247,0.17999999999999997,24
0.00882767588665697,0.17999999999999997,25
0.009724325668564376,0.17999999999999997,26
0.06321659064261254,0.17999999999999997,27
