thsRuns,alphaRuns,lambdas,dilsRuns,run,deltas
0.001,1.3767852078086351,0.11,0.689772,18,9.090909090909092
0.001,1.1847416068587622,0.11,0.689772,19,9.090909090909092
0.001,1.287717186390174,0.11,0.689772,20,9.090909090909092
0.001,1.2560310614239476,0.11,0.689772,21,9.090909090909092
0.001,1.363424453017343,0.11,0.689772,22,9.090909090909092
0.001,,0.11,0.689772,23,9.090909090909092
0.001,1.1521887905850896,0.11,0.689772,24,9.090909090909092
0.001,1.4178962478998924,0.11,0.689772,25,9.090909090909092
0.001,1.6082752879927384,0.11,0.689772,26,9.090909090909092
0.001,,0.11,0.689772,27,9.090909090909092
0.001,1.4784024687735324,0.11,0.689772,28,9.090909090909092
0.001,1.2011675470131242,0.11,0.689772,29,9.090909090909092
0.001,1.4080433135068096,0.11,0.689772,30,9.090909090909092
0.001,1.072832635245019,0.11,0.689772,31,9.090909090909092
0.001,1.1141919244921403,0.11,0.689772,32,9.090909090909092
0.001,,0.11,0.689772,33,9.090909090909092
0.001,1.1152092633616544,0.11,0.689772,34,9.090909090909092
0.001,1.1620139465696706,0.11,0.689772,35,9.090909090909092
0.001,1.3140632284946125,0.11,0.689772,36,9.090909090909092
0.001,1.3808098883486064,0.11,0.689772,37,9.090909090909092
0.001,,0.11,0.689772,38,9.090909090909092
0.001,inf,0.11,0.689772,39,9.090909090909092
0.001,0.9751282068629112,0.12,0.741808,0,8.333333333333334
0.001,1.7385527433019694,0.12,0.741808,1,8.333333333333334
0.001,1.2053437343247826,0.12,0.741808,2,8.333333333333334
0.001,1.3431081108986576,0.12,0.741808,3,8.333333333333334
0.001,1.0189737495808109,0.12,0.741808,4,8.333333333333334
0.001,1.4430701052083856,0.12,0.741808,5,8.333333333333334
0.001,1.6521464684177576,0.12,0.741808,6,8.333333333333334
0.001,1.4206368732005006,0.12,0.741808,7,8.333333333333334
0.001,1.0762483755362129,0.12,0.741808,8,8.333333333333334
0.001,1.2082721862165011,0.12,0.741808,9,8.333333333333334
0.001,2.012569592454449,0.12,0.741808,10,8.333333333333334
0.001,1.3852686887963688,0.12,0.741808,11,8.333333333333334
0.001,,0.12,0.741808,12,8.333333333333334
0.001,1.1933083962783293,0.12,0.741808,13,8.333333333333334
0.001,1.191212289814779,0.12,0.741808,14,8.333333333333334
0.001,,0.12,0.741808,15,8.333333333333334
0.001,1.237074032637982,0.12,0.741808,16,8.333333333333334
0.001,1.3068348153358427,0.12,0.741808,17,8.333333333333334
0.001,1.2560618793804812,0.12,0.741808,18,8.333333333333334
0.001,0.9306895270263352,0.12,0.741808,19,8.333333333333334
0.001,1.076025939280812,0.12,0.741808,20,8.333333333333334
0.001,1.5022067263354681,0.12,0.741808,21,8.333333333333334
0.001,1.324115688513777,0.12,0.741808,22,8.333333333333334
0.001,1.3020159797363586,0.12,0.741808,23,8.333333333333334
0.001,1.2874436696530371,0.12,0.741808,24,8.333333333333334
0.001,1.4517100027863536,0.12,0.741808,25,8.333333333333334
0.001,1.223728997989251,0.12,0.741808,26,8.333333333333334
0.001,1.2582442488326944,0.12,0.741808,27,8.333333333333334
0.001,1.0893643172686673,0.12,0.741808,28,8.333333333333334
0.001,1.220991277510882,0.12,0.741808,29,8.333333333333334
0.001,1.4833186212339609,0.12,0.741808,30,8.333333333333334
0.001,1.100223214287158,0.12,0.741808,31,8.333333333333334
0.001,1.1839328659478665,0.12,0.741808,32,8.333333333333334
0.001,1.276975631291911,0.12,0.741808,33,8.333333333333334
0.001,1.1657093016297089,0.12,0.741808,34,8.333333333333334
0.001,1.3336448157078615,0.12,0.741808,35,8.333333333333334
0.001,1.1544925747847246,0.12,0.741808,36,8.333333333333334
0.001,1.2842205409700092,0.12,0.741808,37,8.333333333333334
0.001,1.6075147311698084,0.12,0.741808,38,8.333333333333334
0.001,1.3555928752239619,0.12,0.741808,39,8.333333333333334
0.001,1.242651243489337,0.13,0.783556,0,7.692307692307692
0.001,1.0307630549381397,0.13,0.783556,1,7.692307692307692
0.001,0.8839727231650478,0.13,0.783556,2,7.692307692307692
0.001,1.4198696098668973,0.13,0.783556,3,7.692307692307692
0.001,1.2382081014009478,0.13,0.783556,4,7.692307692307692
0.001,1.4181622700355971,0.13,0.783556,5,7.692307692307692
0.001,1.1429193790394852,0.13,0.783556,6,7.692307692307692
0.001,1.245340464457493,0.13,0.783556,7,7.692307692307692
0.001,1.3323892644035493,0.13,0.783556,8,7.692307692307692
0.001,1.1013075712160398,0.13,0.783556,9,7.692307692307692
0.001,1.2102101870789976,0.13,0.783556,10,7.692307692307692
0.001,1.2047797383422851,0.13,0.783556,11,7.692307692307692
0.001,1.198772572718454,0.13,0.783556,12,7.692307692307692
0.001,1.1490113964493964,0.13,0.783556,13,7.692307692307692
0.001,1.5240551479998332,0.13,0.783556,14,7.692307692307692
0.001,1.0220364643548343,0.13,0.783556,15,7.692307692307692
0.001,1.2784361027900972,0.13,0.783556,16,7.692307692307692
0.001,1.13308344925787,0.13,0.783556,17,7.692307692307692
0.001,1.1625535178157873,0.13,0.783556,18,7.692307692307692
0.001,1.1099437730231818,0.13,0.783556,19,7.692307692307692
0.001,1.3847346226937416,0.13,0.783556,20,7.692307692307692
0.001,1.2449837366250855,0.13,0.783556,21,7.692307692307692
0.001,1.2387184603487877,0.13,0.783556,22,7.692307692307692
0.001,1.0288285935627965,0.13,0.783556,23,7.692307692307692
0.001,1.2136555795305324,0.13,0.783556,24,7.692307692307692
0.001,1.2074796229071387,0.13,0.783556,25,7.692307692307692
0.001,1.2300645315266192,0.13,0.783556,26,7.692307692307692
0.001,1.3417699048639005,0.13,0.783556,27,7.692307692307692
0.001,1.1618195866019665,0.13,0.783556,28,7.692307692307692
0.001,1.3578012633158794,0.13,0.783556,29,7.692307692307692
0.001,1.1022587678108797,0.13,0.783556,30,7.692307692307692
0.001,1.132570639657843,0.13,0.783556,31,7.692307692307692
0.001,1.1816251934962883,0.13,0.783556,32,7.692307692307692
0.001,inf,0.13,0.783556,33,7.692307692307692
0.001,,0.13,0.783556,34,7.692307692307692
0.001,1.3144260171259854,0.13,0.783556,35,7.692307692307692
0.001,1.626018753239083,0.13,0.783556,36,7.692307692307692
0.001,1.1683347760315268,0.13,0.783556,37,7.692307692307692
0.001,1.121802332802727,0.13,0.783556,38,7.692307692307692
0.001,1.2396364897717427,0.13,0.783556,39,7.692307692307692
0.001,1.2250202632070364,0.13999999999999999,0.816914,0,7.142857142857143
0.001,1.068701734021158,0.13999999999999999,0.816914,1,7.142857142857143
0.001,1.013846456050298,0.13999999999999999,0.816914,2,7.142857142857143
0.001,1.3483621522961462,0.13999999999999999,0.816914,3,7.142857142857143
0.001,1.083435226849692,0.13999999999999999,0.816914,4,7.142857142857143
0.001,1.1625211432632767,0.13999999999999999,0.816914,5,7.142857142857143
0.001,1.3139448150318662,0.13999999999999999,0.816914,6,7.142857142857143
0.001,1.231158518617498,0.13999999999999999,0.816914,7,7.142857142857143
0.001,1.0580913841601656,0.13999999999999999,0.816914,8,7.142857142857143
0.001,1.2676032776033417,0.13999999999999999,0.816914,9,7.142857142857143
0.001,1.3086824632558312,0.13999999999999999,0.816914,10,7.142857142857143
0.001,1.1805669469774622,0.13999999999999999,0.816914,11,7.142857142857143
0.001,0.9106225368448703,0.13999999999999999,0.816914,12,7.142857142857143
0.001,1.2064951757053801,0.13999999999999999,0.816914,13,7.142857142857143
0.001,1.1900483934515242,0.13999999999999999,0.816914,14,7.142857142857143
0.001,1.0605408320525356,0.13999999999999999,0.816914,15,7.142857142857143
0.001,1.16279922089689,0.13999999999999999,0.816914,16,7.142857142857143
0.001,1.3739471073740381,0.13999999999999999,0.816914,17,7.142857142857143
0.001,1.2512558533739055,0.13999999999999999,0.816914,18,7.142857142857143
0.001,1.0397443193300557,0.13999999999999999,0.816914,19,7.142857142857143
0.001,0.9761782819652796,0.13999999999999999,0.816914,20,7.142857142857143
0.001,1.132479798685353,0.13999999999999999,0.816914,21,7.142857142857143
0.001,1.3042243461165917,0.13999999999999999,0.816914,22,7.142857142857143
0.001,1.3673488959310838,0.13999999999999999,0.816914,23,7.142857142857143
0.001,1.3958980105909997,0.13999999999999999,0.816914,24,7.142857142857143
0.001,0.911159762050465,0.13999999999999999,0.816914,25,7.142857142857143
0.001,1.073009390920397,0.13999999999999999,0.816914,26,7.142857142857143
0.001,1.1082671485814135,0.13999999999999999,0.816914,27,7.142857142857143
0.001,0.9602550518364679,0.13999999999999999,0.816914,28,7.142857142857143
0.001,1.0002325593993433,0.13999999999999999,0.816914,29,7.142857142857143
0.001,0.7250924109990302,0.13999999999999999,0.816914,30,7.142857142857143
0.001,1.2759518327533326,0.13999999999999999,0.816914,31,7.142857142857143
0.001,1.0644890946572918,0.13999999999999999,0.816914,32,7.142857142857143
0.001,0.9689572241733653,0.13999999999999999,0.816914,33,7.142857142857143
0.001,1.4167339762861428,0.13999999999999999,0.816914,34,7.142857142857143
